student_id,exam,question,rubric_item,ai_score,teacher_score,rationale
student_001,AP-Calc,frq3,P6 - Answer with supporting work,0,,"The student sets up the trapezoidal sum correctly but does not simplify or provide a final numerical answer, so P6 cannot be awarded."
student_001,AP-Calc,frq3,P7 - Integrand,1,,"The student writes the definite integral of W(t) = -3/10 t² + 8t + 100 from 0 to 10, correctly identifying the integrand."
student_001,AP-Calc,frq3,P8 - Antiderivative,1,,"The student correctly computes the antiderivative as -1/10 t³ + 4t² + 100t, which is correct."
student_001,AP-Calc,frq3,P9 - Answer,0,,The student correctly sets up the evaluation at t=10 and t=0 but does not simplify to a final numerical answer of 1300 words.
student_002,AP-Calc,frq3,P1 - Answer with setup,1,,"The student correctly shows R'(1) ≈ (R(2)-R(0))/(2-0) = (100-90)/2 = 10/2 = 5, providing the difference quotient with values from the table."
student_002,AP-Calc,frq3,P2 - Units,0,,"The student writes 'words/min' but the correct units should be words per minute per minute (words/min²), so the units are incorrect."
student_002,AP-Calc,frq3,P3 - Differentiable implies continuous,0,,The student does not state that R is continuous because R is differentiable; the justification only mentions IVT and the inequality without establishing continuity from differentiability.
student_002,AP-Calc,frq3,P4 - Answer with justification,1,,"The student states R(0)=90 < 155 < 162=R(10), invokes the IVT, and concludes there must be a time t=c in (0,10) such that R(c)=155, which is sufficient for P4."
student_002,AP-Calc,frq3,P5 - Form of trapezoidal sum,1,,"The student correctly sets up three trapezoidal terms: 2((90+100)/2) + 6((100+150)/2) + 2((150+162)/2), with all six factors correct."
student_002,AP-Calc,frq3,P6 - Answer with supporting work,1,,"The student correctly computes 190 + 750 + 312 = 1252, arriving at the correct answer of 1252 words."
student_002,AP-Calc,frq3,P7 - Integrand,1,,"The student writes the definite integral from 0 to 10 of (-3/10)t² + 8t + 100 dt, correctly identifying the integrand W(t)."
student_002,AP-Calc,frq3,P8 - Antiderivative,1,,The student correctly finds the antiderivative as -(1/10)t³ + 4t² + 100t evaluated from 0 to 10.
student_002,AP-Calc,frq3,P9 - Answer,1,,"The student correctly evaluates to get -100 + 400 + 1000 = 1300 words, which is the correct answer."
student_003,AP-Calc,frq3,P1,1,,The student correctly shows (100-90)/(2-0) = 10/2 = 5 with the difference quotient using table values.
student_003,AP-Calc,frq3,P2,0,,The student writes 'words per minute' but the correct units for R'(1) are words per minute per minute (words/min²).
student_003,AP-Calc,frq3,P3,0,,The student does not state that R is continuous because R is differentiable; no justification of continuity is provided.
student_003,AP-Calc,frq3,P4,0,,"The student does not properly invoke the Intermediate Value Theorem, does not establish R(8) < 155 < R(10) with continuity, and incorrectly references 150 instead of 155."
student_003,AP-Calc,frq3,P5,0,,"The student uses incorrect values (10/2, 150/6, 162/2) instead of the proper endpoint averages (90+100)/2, (100+150)/2, (150+162)/2, so fewer than 5 of 6 factors are correct."
student_003,AP-Calc,frq3,P6,0,,"P6 is not earned because P5 was not earned, and the final answer of 322 is incorrect."
student_003,AP-Calc,frq3,P7,1,,The student sets up a definite integral from 0 to 10 with the integrand that can be charitably read as W(t) = -3t²/10 + 8t + 100.
student_003,AP-Calc,frq3,P8,0,,The student does not compute an antiderivative; the work stops after writing the integral.
student_003,AP-Calc,frq3,P9,0,,"No final answer is given, and P8 was not earned, so P9 is not eligible."
student_001,AP-Calc,frq4,P1,1,,"The student explicitly writes g'(x) = f(x), earning P1."
student_001,AP-Calc,frq4,P2,1,,"The student correctly states g'(8) = f(8) = 1, earning P2."
student_001,AP-Calc,frq4,P3,1,,"The student identifies all three correct points of inflection at x = -3, x = 3, and x = 6 with no additional incorrect values."
student_001,AP-Calc,frq4,P4,1,,"The student ties the reason to the graph of f by stating that f (or g') changes from decreasing to increasing or increasing to decreasing at each point, earning P4."
student_001,AP-Calc,frq4,P5,1,,The student correctly computes and labels g(12) = 9.
student_001,AP-Calc,frq4,P6,1,,The student correctly computes and labels g(0) = -9π/2.
student_001,AP-Calc,frq4,P7,1,,"The student sets g'(x) = f(x) = 0 and finds x = 0 and x = 6, earning P7."
student_001,AP-Calc,frq4,P8,1,,"The student provides a candidates test table with evaluations of g at x = -6, 0, 6, and 12, comparing all values to identify the minimum, earning P8."
student_001,AP-Calc,frq4,P9,1,,"The student correctly concludes that g attains an absolute minimum at x = 0, earning P9."
student_002,AP-Calc,frq4,P1,1,,"The student correctly states g'(x) = f(x) and g'(8) = f(8), earning P1."
student_002,AP-Calc,frq4,P2,1,,"The student correctly concludes g'(8) = 1, earning P2."
student_002,AP-Calc,frq4,P3,0,,"The student only identifies x = 0 as a point of inflection, missing x = -3, x = 3, and x = 6; the answer is incomplete and incorrect per the rubric requiring all three correct values."
student_002,AP-Calc,frq4,P4,0,,"Since the student did not identify the correct set of x-values and the reasoning references concavity of f rather than f changing from increasing to decreasing or vice versa, P4 is not earned."
student_002,AP-Calc,frq4,P5,1,,"The student writes g(12) = 9, which is correctly labeled and correct."
student_002,AP-Calc,frq4,P6,1,,"The student writes g(0) = -9π/2, which is correctly labeled and correct."
student_002,AP-Calc,frq4,P7,1,,"The student writes g'(x) = f(x) = 0, which earns P7 for considering where g'(x) = 0."
student_002,AP-Calc,frq4,P8,0,,"The student uses a local First Derivative Test argument (f goes from negative to positive at x = 0) rather than a global candidates test comparing all critical points and endpoints, so P8 is not earned."
student_002,AP-Calc,frq4,P9,1,,"The student correctly identifies x = 0 as the location of the absolute minimum, earning P9."
student_003,AP-Calc,frq4,P1,1,,The student correctly states g'(x) = f(x) using the Fundamental Theorem of Calculus.
student_003,AP-Calc,frq4,P2,1,,The student correctly concludes g'(8) = f(8) = 1.
student_003,AP-Calc,frq4,P3,0,,"The student identifies only x = 0 and x = 6 as points of inflection, missing x = -3, so the answer is incomplete and incorrect per the rubric."
student_003,AP-Calc,frq4,P4,0,,"Since P3 was not earned (incorrect/incomplete set of x-values), P4 cannot be earned; however, even the special case requires two of three correct values, and the student's values x=0 and x=6 are not both among the correct values (x=0 is not a point of inflection)."
student_003,AP-Calc,frq4,P5,0,,"The student writes g(12) = 18 (labeled), but the correct value is g(12) = 9, so P5 is not earned."
student_003,AP-Calc,frq4,P6,1,,The student correctly computes and labels g(0) = -9π/2.
student_003,AP-Calc,frq4,P7,1,,"The student states g'(x) = f(x) and implicitly considers where f(x) = 0, listing critical values x = 6 and x = -6 (endpoints), showing consideration of g'(x) = 0."
student_003,AP-Calc,frq4,P8,0,,"The student does not provide a complete global argument; they evaluate g(6), g(-6), and g(12) but omit g(0), which is a critical point, and thus the candidates test is incomplete."
student_003,AP-Calc,frq4,P9,0,,"The student concludes the absolute minimum is at x = 12 (actually finding a maximum), which is incorrect; the correct answer is x = 0."
student_001,AP-Calc,frq5,P1,1,,"The student correctly applies the product rule, showing -y² + 2(3-x)y·dy/dx as an intermediate step."
student_001,AP-Calc,frq5,P2,1,,The student correctly applies the chain rule by showing dy/dx in the differentiation step.
student_001,AP-Calc,frq5,P3,1,,The student correctly evaluates f''(1) = 2(2)²(-1)³ - (-1)² = -9.
student_001,AP-Calc,frq5,P4,1,,The student correctly writes two terms of the Taylor polynomial: -1 + 2(x-1).
student_001,AP-Calc,frq5,P5,1,,The student correctly includes the remaining term -9/2(x-1)² in powers of (x-1).
student_001,AP-Calc,frq5,P6,1,,The student presents the correct form 60/3! · (1.1-1)³ for the Lagrange error bound.
student_001,AP-Calc,frq5,P7,1,,"The student explicitly connects the error bound to ≤ 0.01, satisfying the analysis requirement."
student_001,AP-Calc,frq5,P8,1,,The student correctly demonstrates the first step of Euler's method: f(1.2) ≈ -1 + 0.2((3-1)(-1)²) = -0.6.
student_001,AP-Calc,frq5,P9,1,,"The student writes the correct expression -0.6 + 0.2((3-1.2)(-0.6)²) for the second step, which per the rubric earns P9 regardless of subsequent simplification."
student_002,AP-Calc,frq5,P1 (Product rule),1,,"Student writes f''(x) = (3-x)·2y + y²·(-1), demonstrating the product rule structure correctly."
student_002,AP-Calc,frq5,P2 (Chain rule),0,,"Student uses -1 instead of dy/dx for the chain rule component, failing to correctly apply the chain rule."
student_002,AP-Calc,frq5,P3 (f''(1)),0,,"Since P2 was not earned, P3 is not eligible; additionally the answer of -5 is incorrect (correct is -9)."
student_002,AP-Calc,frq5,P4 (Two terms of Taylor polynomial),1,,Student correctly writes -1 + 2(x-1) for the constant and first-degree terms of the Taylor polynomial.
student_002,AP-Calc,frq5,P5 (Remaining term of Taylor polynomial),1,,"Student writes -5(x-1)²/2!, which is consistent with their imported f''(1) = -5 from Part A, earning P5."
student_002,AP-Calc,frq5,P6 (Form of error bound),1,,"Student correctly presents |Error| ≤ (60/3!)|1.1-1|³, which is the required Lagrange error bound form."
student_002,AP-Calc,frq5,P7 (Analysis connecting bound to 0.01),0,,Student does not simplify the expression or explicitly state that the error bound equals or is ≤ 0.01.
student_002,AP-Calc,frq5,P8 (First step of Euler's method),1,,Student correctly computes f(1.2) ≈ -1 + 0.2(2) = -0.6 using the correct initial condition and step size.
student_002,AP-Calc,frq5,P9 (Answer with supporting work),1,,"Student correctly sets up the second Euler step as (1.8)(-.6)²(.2) - .6, which gives -0.4704, a correct final answer."
student_003,AP-Calc,frq5,P1 (Product rule),0,,"The student used separation of variables rather than differentiating dy/dx implicitly using the product rule, so P1 is not earned."
student_003,AP-Calc,frq5,P2 (Chain rule),0,,The student did not differentiate dy/dx using the chain rule; instead used a separation of variables approach and never produced the correct second derivative expression.
student_003,AP-Calc,frq5,P3 (f''(1) = -9),0,,"The student arrived at f''(1) = -1, which is incorrect; the correct answer is -9."
student_003,AP-Calc,frq5,P4 (Two terms of Taylor polynomial),0,,"The student left f'(1) blank and did not write out the Taylor polynomial, so P4 is not earned."
student_003,AP-Calc,frq5,P5 (Remaining term of Taylor polynomial),0,,"The Taylor polynomial was not completed, so P5 is not earned."
student_003,AP-Calc,frq5,P6 (Form of error bound),1,,The student correctly presents 60(0.1)³/3! as the Lagrange error bound form.
student_003,AP-Calc,frq5,P7 (Analysis connecting error bound to 0.01),0,,"The student writes '0.01 ≤ 0.01', which declares equality rather than showing the bound is at most 0.01, so P7 is not earned per the rubric."
student_003,AP-Calc,frq5,P8 (First step of Euler's method),1,,"The student correctly demonstrates the first step of Euler's method with the correct initial condition, step size of 0.2, and correct derivative evaluation giving -0.6."
student_003,AP-Calc,frq5,P9 (Answer with supporting work),1,,"The student correctly completes the second step and arrives at f(1.4) ≈ -0.470, which matches the correct answer."
student_001,AP-Calc,frq6,P1 - Sets up ratio,1,,"The student correctly sets up the ratio of consecutive terms as |(x-4)^(n+2) / ((n+2)3^(n+1)) · (n+1)3^n / (x-4)^(n+1)|, which is a correct ratio."
student_001,AP-Calc,frq6,P2 - Limit of ratio,1,,"The student correctly evaluates the limit as |x-4|/3, showing lim as n→∞ of |(x-4)/3 · (n+1)/(n+2)| = |x-4|/3."
student_001,AP-Calc,frq6,P3 - Interior of interval of convergence,1,,"The student correctly determines |x-4|/3 < 1, leading to -3 < x-4 < 3, giving the interior interval 1 < x < 7."
student_001,AP-Calc,frq6,P4 - Considers both endpoints,1,,"The student considers both x=1 and x=7, analyzing the series at each endpoint."
student_001,AP-Calc,frq6,P5 - Analysis and interval of convergence,1,,"The student correctly determines that x=1 gives a convergent alternating series (by AST) and x=7 gives a divergent series (by LCT to harmonic series), concluding the interval of convergence is 1 ≤ x < 7."
student_001,AP-Calc,frq6,P6 - First three terms,1,,The student correctly identifies the first three nonzero terms of f' as (x-4)/3 + (x-4)²/3² + (x-4)³/3³.
student_001,AP-Calc,frq6,P7 - General term,1,,The student correctly identifies the general term as (x-4)^n / 3^n.
student_001,AP-Calc,frq6,P8 - Verification,1,,"The student correctly identifies the geometric series with first term a = (x-4)/3 and common ratio r = (x-4)/3, and shows a/(1-r) = [(x-4)/3] / [1-(x-4)/3] = (x-4)/(7-x)."
student_001,AP-Calc,frq6,P9 - Answer with reason,1,,"The student correctly answers 'No' and provides valid reasoning that x=8 is outside the interval of convergence (1 ≤ x < 7) for f', so the series cannot converge to f'(x) at x=8."
student_002,AP-Calc,frq6,P1 - Sets up ratio,1,,"The student sets up a correct ratio of consecutive terms for the ratio test, showing the (n+2)th term over the (n+1)th term."
student_002,AP-Calc,frq6,P2 - Limit of ratio,0,,"The student's limit simplification appears to result in |x-4| · (1/3) but the intermediate work shows errors (n+1)/(3(n-2)) which is incorrect; it should be (n+1)/(n+2) · |x-4|/3, so the limit evaluation is not correctly performed."
student_002,AP-Calc,frq6,P3 - Interior of interval of convergence,1,,"The student correctly identifies |x-4| · (1/3) < 1 leading to -3 < x-4 < 3, and thus 1 < x < 7 as the interior of the interval of convergence."
student_002,AP-Calc,frq6,P4 - Considers both endpoints,0,,The student does not check or analyze either endpoint x=1 or x=7 anywhere in Part A.
student_002,AP-Calc,frq6,P5 - Analysis and interval of convergence,0,,"Since both endpoints were not analyzed, the correct final interval of convergence [1,7) is not established, so P5 is not earned."
student_002,AP-Calc,frq6,P6 - First three terms,1,,"After simplification, the student correctly identifies the first three nonzero terms of f' as (x-4)/3 + (x-4)²/3² + (x-4)³/3³."
student_002,AP-Calc,frq6,P7 - General term,1,,"The student identifies the general term as n(x-4)^n / 3^n, but then corrects to (x-4)^n / 3^n (dropping the n coefficient), which matches the correct general term (x-4)^n / 3^n."
student_002,AP-Calc,frq6,P8 - Verification,1,,"The student correctly identifies the geometric series with first term (x-4)/3 and common ratio (x-4)/3, and applies the geometric series sum formula to obtain (x-4)/(7-x), earning P8."
student_002,AP-Calc,frq6,P9 - Answer with reason,0,,"The student says 'No' but gives an incorrect reason (claiming the center needs to shift to x=8 and that (x-8) should replace (x-4)), rather than correctly stating that x=8 is outside the interval of convergence 1 < x < 7."
student_003,AP-Calc,frq6,P1,1,,The student correctly sets up the ratio of consecutive terms for the ratio test.
student_003,AP-Calc,frq6,P2,0,,"The student's limit evaluates to |x-4| rather than the correct |x-4|/3, indicating an error in simplification of the ratio."
student_003,AP-Calc,frq6,P3,0,,"Based on the incorrect limit, the student finds the interior interval (3,5) instead of the correct (1,7)."
student_003,AP-Calc,frq6,P4,0,,The student only checks one endpoint (x=3) and does not consider both endpoints of their interval.
student_003,AP-Calc,frq6,P5,0,,"The student presents the incorrect interval of convergence (3,5) and does not correctly analyze both endpoints."
student_003,AP-Calc,frq6,P6,0,,The first three terms of f' are incorrect; the student wrote (x-4)²/12 + (x-4)³/81 + (x-4)⁴/(16·3³) instead of the correct (x-4)/3 + (x-4)²/9 + (x-4)³/27.
student_003,AP-Calc,frq6,P7,0,,The general term (x-4)^(n+1)/((2(n+1))·3^n) is incorrect; the correct general term is (x-4)^n/3^n.
student_003,AP-Calc,frq6,P8,0,,The student does not successfully show that f'(x) = (x-4)/(7-x) using the geometric series formula; the work is crossed out and incomplete.
student_003,AP-Calc,frq6,P9,1,,"The student correctly answers 'No' with the reason that x=8 is outside the interval of convergence, which is consistent with their imported interval from part A, earning credit per the scoring notes."
